base_id,text,intent,clean_text,emojis,excess_punct_count,label
complaint_001,"Mera order abhi tak deliver nahi hua hai, it's been 5 days!",complaint,"Mera order abhi tak deliver nahi hua hai, it's been 5 days!",,0,0
complaint_001,"Arre Mera order abhi tak deliver nahi hua hai, it's been 5 days! please",complaint,"Arre Mera order abhi tak deliver nahi hua hai, it's been 5 days! please",,0,0
complaint_001,"Hey, Mera order abhi tak deliver nahi hua hai, it's been 5 days!!",complaint,"Hey, Mera order abhi tak deliver nahi hua hai, it's been 5 days!",,1,0
complaint_001,"Bhai Mera order abhi tak deliver nahi hua hai, it's been 5 days! jaldi batao",complaint,"Bhai Mera order abhi tak deliver nahi hua hai, it's been 5 days! jaldi batao",,0,0
complaint_001,"Sir Mera order abhi tak deliver nahi hua hai, it's been 5 days! kindly confirm",complaint,"Sir Mera order abhi tak deliver nahi hua hai, it's been 5 days! kindly confirm",,0,0
complaint_001,"Sunna Mera order abhi tak deliver nahi hua hai, it's been 5 days!...",complaint,"Sunna Mera order abhi tak deliver nahi hua hai, it's been 5 days!.",,1,0
complaint_001,"Dekho Mera order abhi tak deliver nahi hua hai, it's been 5 days! actually",complaint,"Dekho Mera order abhi tak deliver nahi hua hai, it's been 5 days! actually",,0,0
complaint_001,"Hello team, Mera order abhi tak deliver nahi hua hai, it's been 5 days!",complaint,"Hello team, Mera order abhi tak deliver nahi hua hai, it's been 5 days!",,0,0
complaint_002,"Aapki service bohot bekar hai, refund kab milega mera?",complaint,"Aapki service bohot bekar hai, refund kab milega mera?",,0,0
complaint_002,"Arre Aapki service bohot bekar hai, refund kab milega mera? please",complaint,"Arre Aapki service bohot bekar hai, refund kab milega mera? please",,0,0
complaint_002,"Hey, Aapki service bohot bekar hai, refund kab milega mera?!",complaint,"Hey, Aapki service bohot bekar hai, refund kab milega mera?!",,0,0
complaint_002,"Bhai Aapki service bohot bekar hai, refund kab milega mera? jaldi batao",complaint,"Bhai Aapki service bohot bekar hai, refund kab milega mera? jaldi batao",,0,0
complaint_002,"Sir Aapki service bohot bekar hai, refund kab milega mera? kindly confirm",complaint,"Sir Aapki service bohot bekar hai, refund kab milega mera? kindly confirm",,0,0
complaint_002,"Sunna Aapki service bohot bekar hai, refund kab milega mera?...",complaint,"Sunna Aapki service bohot bekar hai, refund kab milega mera?.",,1,0
complaint_002,"Dekho Aapki service bohot bekar hai, refund kab milega mera? actually",complaint,"Dekho Aapki service bohot bekar hai, refund kab milega mera? actually",,0,0
complaint_002,"Hello team, Aapki service bohot bekar hai, refund kab milega mera?",complaint,"Hello team, Aapki service bohot bekar hai, refund kab milega mera?",,0,0
complaint_003,"Item defective nikla hai, replace karwao jaldi please.",complaint,"Item defective nikla hai, replace karwao jaldi please.",,0,0
complaint_003,"Arre Item defective nikla hai, replace karwao jaldi please. please",complaint,"Arre Item defective nikla hai, replace karwao jaldi please. please",,0,0
complaint_003,"Hey, Item defective nikla hai, replace karwao jaldi please.!",complaint,"Hey, Item defective nikla hai, replace karwao jaldi please.!",,0,0
complaint_003,"Bhai Item defective nikla hai, replace karwao jaldi please. jaldi batao",complaint,"Bhai Item defective nikla hai, replace karwao jaldi please. jaldi batao",,0,0
complaint_003,"Sir Item defective nikla hai, replace karwao jaldi please. kindly confirm",complaint,"Sir Item defective nikla hai, replace karwao jaldi please. kindly confirm",,0,0
complaint_003,"Sunna Item defective nikla hai, replace karwao jaldi please....",complaint,"Sunna Item defective nikla hai, replace karwao jaldi please.",,1,0
complaint_003,"Dekho Item defective nikla hai, replace karwao jaldi please. actually",complaint,"Dekho Item defective nikla hai, replace karwao jaldi please. actually",,0,0
complaint_003,"Hello team, Item defective nikla hai, replace karwao jaldi please.",complaint,"Hello team, Item defective nikla hai, replace karwao jaldi please.",,0,0
complaint_004,"Executive ne bohot rude tarike se baat kiya mere se, complain register karo.",complaint,"Executive ne bohot rude tarike se baat kiya mere se, complain register karo.",,0,0
complaint_004,"Arre Executive ne bohot rude tarike se baat kiya mere se, complain register karo. please",complaint,"Arre Executive ne bohot rude tarike se baat kiya mere se, complain register karo. please",,0,0
complaint_004,"Hey, Executive ne bohot rude tarike se baat kiya mere se, complain register karo.!",complaint,"Hey, Executive ne bohot rude tarike se baat kiya mere se, complain register karo.!",,0,0
complaint_004,"Bhai Executive ne bohot rude tarike se baat kiya mere se, complain register karo. jaldi batao",complaint,"Bhai Executive ne bohot rude tarike se baat kiya mere se, complain register karo. jaldi batao",,0,0
complaint_004,"Sir Executive ne bohot rude tarike se baat kiya mere se, complain register karo. kindly confirm",complaint,"Sir Executive ne bohot rude tarike se baat kiya mere se, complain register karo. kindly confirm",,0,0
complaint_004,"Sunna Executive ne bohot rude tarike se baat kiya mere se, complain register karo....",complaint,"Sunna Executive ne bohot rude tarike se baat kiya mere se, complain register karo.",,1,0
complaint_004,"Dekho Executive ne bohot rude tarike se baat kiya mere se, complain register karo. actually",complaint,"Dekho Executive ne bohot rude tarike se baat kiya mere se, complain register karo. actually",,0,0
complaint_004,"Hello team, Executive ne bohot rude tarike se baat kiya mere se, complain register karo.",complaint,"Hello team, Executive ne bohot rude tarike se baat kiya mere se, complain register karo.",,0,0
complaint_005,Paise kat gaye account se but order confirm nahi hua abhi tak.,complaint,Paise kat gaye account se but order confirm nahi hua abhi tak.,,0,0
complaint_005,Arre Paise kat gaye account se but order confirm nahi hua abhi tak. please,complaint,Arre Paise kat gaye account se but order confirm nahi hua abhi tak. please,,0,0
complaint_005,"Hey, Paise kat gaye account se but order confirm nahi hua abhi tak.!",complaint,"Hey, Paise kat gaye account se but order confirm nahi hua abhi tak.!",,0,0
complaint_005,Bhai Paise kat gaye account se but order confirm nahi hua abhi tak. jaldi batao,complaint,Bhai Paise kat gaye account se but order confirm nahi hua abhi tak. jaldi batao,,0,0
complaint_005,Sir Paise kat gaye account se but order confirm nahi hua abhi tak. kindly confirm,complaint,Sir Paise kat gaye account se but order confirm nahi hua abhi tak. kindly confirm,,0,0
complaint_005,Sunna Paise kat gaye account se but order confirm nahi hua abhi tak....,complaint,Sunna Paise kat gaye account se but order confirm nahi hua abhi tak.,,1,0
complaint_005,Dekho Paise kat gaye account se but order confirm nahi hua abhi tak. actually,complaint,Dekho Paise kat gaye account se but order confirm nahi hua abhi tak. actually,,0,0
complaint_005,"Hello team, Paise kat gaye account se but order confirm nahi hua abhi tak.",complaint,"Hello team, Paise kat gaye account se but order confirm nahi hua abhi tak.",,0,0
complaint_006,"Har baar delivery delay hoti hai aapki company se, very bad experience.",complaint,"Har baar delivery delay hoti hai aapki company se, very bad experience.",,0,0
complaint_006,"Arre Har baar delivery delay hoti hai aapki company se, very bad experience. please",complaint,"Arre Har baar delivery delay hoti hai aapki company se, very bad experience. please",,0,0
