clean_text,intent,predicted_intent,confidence,benchmark_source,failure_analysis
"Daily 10 call aate hain aapke, block list me daal raha hu number.",not_interested,callback_request,1.0,In-Domain (test.csv),Code-Mixed Lexical Ambiguity: Multi-intent phrases or colloquial transliteration overlap.
"Aapke calls disturbing hain, block kar raha hu.",not_interested,callback_request,0.9998999834060669,In-Domain (test.csv),Code-Mixed Lexical Ambiguity: Multi-intent phrases or colloquial transliteration overlap.
Spam call karna band karo otherwise main consumer forum me report karunga.,not_interested,callback_request,0.9991000294685364,In-Domain (test.csv),Code-Mixed Lexical Ambiguity: Multi-intent phrases or colloquial transliteration overlap.
battery 1% h switch off hone wala h aadhe ghante baad dial kro,callback_request,complaint,0.9988999962806702,OOD Benchmark (test_ood.csv),Code-Mixed Lexical Ambiguity: Multi-intent phrases or colloquial transliteration overlap.
bhai itna ghatiya product life me ni dekha return lelo isko,complaint,not_interested,0.9973999857902527,OOD Benchmark (test_ood.csv),Negative Sentiment Spillover: Harsh complaint language mistaken for refusal to interact.
yes confirmed bhai dispatch nikalwao jaldi,positive_confirmation,not_interested,0.9973999857902527,OOD Benchmark (test_ood.csv),Code-Mixed Lexical Ambiguity: Multi-intent phrases or colloquial transliteration overlap.
tumhare executive ne call cut kia battameezi se baat krk,complaint,callback_request,0.9955000281333923,OOD Benchmark (test_ood.csv),Code-Mixed Lexical Ambiguity: Multi-intent phrases or colloquial transliteration overlap.
First time customer ke liye koi introductory discount voucher hai?,price_negotiation,purchase_inquiry,0.9951000213623047,In-Domain (test.csv),Implicit Negotiation: Asking about lower variant or rate matching mistaken for general inquiry.
aawaz robotic aa rhi h cut krk wapas milao,callback_request,complaint,0.9932000041007996,OOD Benchmark (test_ood.csv),Code-Mixed Lexical Ambiguity: Multi-intent phrases or colloquial transliteration overlap.
Sir please discount code email kar dijiye so that payment link open karu.,price_negotiation,positive_confirmation,0.9907000064849854,In-Domain (test.csv),Code-Mixed Lexical Ambiguity: Multi-intent phrases or colloquial transliteration overlap.
mera recharge ka paisa fas gya data chal nai rha,complaint,not_interested,0.9898999929428101,OOD Benchmark (test_ood.csv),Negative Sentiment Spillover: Harsh complaint language mistaken for refusal to interact.
Is real estate property ka floor plan aur brochures WhatsApp pe bhej do.,purchase_inquiry,complaint,0.9894000291824341,In-Domain (test.csv),Code-Mixed Lexical Ambiguity: Multi-intent phrases or colloquial transliteration overlap.
yes membership renew mar do same card se,positive_confirmation,not_interested,0.9876999855041504,OOD Benchmark (test_ood.csv),Code-Mixed Lexical Ambiguity: Multi-intent phrases or colloquial transliteration overlap.
Haan main ready hu consultation call ke liye doctor ko connect karo.,positive_confirmation,callback_request,0.9871000051498413,In-Domain (test.csv),Code-Mixed Lexical Ambiguity: Multi-intent phrases or colloquial transliteration overlap.
bill me 500 extra tax lga dia fraud company,complaint,price_negotiation,0.9829999804496765,OOD Benchmark (test_ood.csv),Code-Mixed Lexical Ambiguity: Multi-intent phrases or colloquial transliteration overlap.
Bhai delivery charges hata lo bargain khatam karte hain.,price_negotiation,complaint,0.965399980545044,In-Domain (test.csv),Code-Mixed Lexical Ambiguity: Multi-intent phrases or colloquial transliteration overlap.
Nahi chahiye bhai mat call karo.,not_interested,callback_request,0.8925999999046326,In-Domain (test.csv),Negation Ambiguity: Sentence contains negative particles leading to confusion.
already dusra le lia h close my lead please,not_interested,callback_request,0.8543000221252441,OOD Benchmark (test_ood.csv),Code-Mixed Lexical Ambiguity: Multi-intent phrases or colloquial transliteration overlap.
maine subah b mna kia tha fir ghuma dia phone kat rha hu,not_interested,callback_request,0.8493000268936157,OOD Benchmark (test_ood.csv),Code-Mixed Lexical Ambiguity: Multi-intent phrases or colloquial transliteration overlap.
sure lock this price deal finalized from my side,positive_confirmation,complaint,0.8357999920845032,OOD Benchmark (test_ood.csv),Code-Mixed Lexical Ambiguity: Multi-intent phrases or colloquial transliteration overlap.
sahi h quotation gpay kr dia h screen shot check kro,positive_confirmation,complaint,0.8295999765396118,OOD Benchmark (test_ood.csv),Code-Mixed Lexical Ambiguity: Multi-intent phrases or colloquial transliteration overlap.
all details look solid aage badhao process,positive_confirmation,complaint,0.8123000264167786,OOD Benchmark (test_ood.csv),Code-Mixed Lexical Ambiguity: Multi-intent phrases or colloquial transliteration overlap.
installation free include kr doge to turant agreement sign krunga,price_negotiation,positive_confirmation,0.7978000044822693,OOD Benchmark (test_ood.csv),Code-Mixed Lexical Ambiguity: Multi-intent phrases or colloquial transliteration overlap.
yes proceed with booking ticket book kr do,positive_confirmation,price_negotiation,0.7954000234603882,OOD Benchmark (test_ood.csv),Code-Mixed Lexical Ambiguity: Multi-intent phrases or colloquial transliteration overlap.
diwali coupon code activate kr do cart pe,price_negotiation,complaint,0.7839000225067139,OOD Benchmark (test_ood.csv),Code-Mixed Lexical Ambiguity: Multi-intent phrases or colloquial transliteration overlap.
payment successful transaction id note krlo,positive_confirmation,price_negotiation,0.7702000141143799,OOD Benchmark (test_ood.csv),Negation Ambiguity: Sentence contains negative particles leading to confusion.
bilkul ready hu purchase k lie payment link drop kro whatsapp pe,positive_confirmation,price_negotiation,0.6729999780654907,OOD Benchmark (test_ood.csv),Code-Mixed Lexical Ambiguity: Multi-intent phrases or colloquial transliteration overlap.
crm se data delete kro mera i dont want marketing calls,not_interested,complaint,0.6554999947547913,OOD Benchmark (test_ood.csv),Code-Mixed Lexical Ambiguity: Multi-intent phrases or colloquial transliteration overlap.
bro bulk me 10 unit leni h office k lie pricing sheet send krna,purchase_inquiry,complaint,0.6452000141143799,OOD Benchmark (test_ood.csv),Code-Mixed Lexical Ambiguity: Multi-intent phrases or colloquial transliteration overlap.
is wale me fast charging adapter sath aata h kya dabba kholne pe?,purchase_inquiry,complaint,0.6402000188827515,OOD Benchmark (test_ood.csv),Code-Mixed Lexical Ambiguity: Multi-intent phrases or colloquial transliteration overlap.
"Mera order abhi tak deliver nahi hua hai, it's been 5 days!",complaint,callback_request,0.6366000175476074,In-Domain (test.csv),Negation Ambiguity: Sentence contains negative particles leading to confusion.
yes package pack kr k dispatch nikalwa do,positive_confirmation,complaint,0.6136000156402588,OOD Benchmark (test_ood.csv),Code-Mixed Lexical Ambiguity: Multi-intent phrases or colloquial transliteration overlap.
Kya aap test drive arrange karwa sakte ho weekend par?,purchase_inquiry,complaint,0.5910999774932861,In-Domain (test.csv),Code-Mixed Lexical Ambiguity: Multi-intent phrases or colloquial transliteration overlap.
"Mujhe naya laptop lena hai coding ke liye, best option suggest karo.",purchase_inquiry,not_interested,0.5631999969482422,In-Domain (test.csv),Code-Mixed Lexical Ambiguity: Multi-intent phrases or colloquial transliteration overlap.
Mujhe kisi software tool ka demo nahi dekhna.,not_interested,complaint,0.538100004196167,In-Domain (test.csv),Negation Ambiguity: Sentence contains negative particles leading to confusion.
delhi ncr me deliver hone me kitna din lgega standard shipping se?,purchase_inquiry,complaint,0.5315999984741211,OOD Benchmark (test_ood.csv),Code-Mixed Lexical Ambiguity: Multi-intent phrases or colloquial transliteration overlap.
flight delay ka koi notification nai dia airport pe betha hu,complaint,purchase_inquiry,0.5274999737739563,OOD Benchmark (test_ood.csv),Negation Ambiguity: Sentence contains negative particles leading to confusion.
unintrested in this policy please remove my record,not_interested,positive_confirmation,0.5250999927520752,OOD Benchmark (test_ood.csv),Code-Mixed Lexical Ambiguity: Multi-intent phrases or colloquial transliteration overlap.
"Bhai itna rigid mat raho pricing me, customer relationship maintain karo.",price_negotiation,not_interested,0.49779999256134033,In-Domain (test.csv),Negation Ambiguity: Sentence contains negative particles leading to confusion.
bhai 6 din se order ruka hua h koi btao kb aayga?,complaint,price_negotiation,0.42100000381469727,OOD Benchmark (test_ood.csv),Code-Mixed Lexical Ambiguity: Multi-intent phrases or colloquial transliteration overlap.
